date,gold_close,gold_open,gold_high,gold_low,silver_close,silver_open,silver_high,silver_low,gpr_level,gpr_war,gpr_terrorism,gpr_economic,gpr_political,gpr_nuclear,gpr_trade,gpr_sanctions,gpr_pandemic,event_count,composite_risk,risk_regime_encoded,gpr_ma7,gpr_ma30,gpr_ma90,gpr_momentum,gpr_volatility,gpr_spike,pandemic_severity,pandemic_phase_encoded,is_pandemic,is_lockdown,is_post_pandemic,gold_return,gold_lag1,gold_lag7,gold_lag14,gold_lag30,gold_ma7,gold_ma14,gold_ma30,gold_ma60,gold_ema7,gold_ema14,gold_ema30,gold_rsi,gold_macd,gold_bb_pct,gold_volatility,gs_ratio,gs_ratio_ma7,gs_ratio_ma30,day_of_week,month,quarter,year,target
2010-03-01,1117.35,1116.55,1123.7,1112.05,16.45,16.56,16.75,16.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0007613076578592,1116.5,1123.9,1077.3,,1111.071428571429,1103.7535714285714,,,1108.483350448761,1105.4596784854089,1102.2246309525342,70.28066128412154,3.5074854888234768,0.7205957497402937,,67.92401215805471,68.77141431287411,,0.0,3.0,1.0,2010.0,1108.2
2010-03-02,1134.65,1118.75,1137.75,1115.1,16.92,16.44,17.09,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0154830626034816,1117.35,1118.85,1072.85,,1110.1357142857144,1106.6142857142856,,,1110.7052975354177,1107.1276754529542,1103.519641140089,67.0643374520665,3.919194232827977,0.7211507156215275,,67.0596926713948,68.56390987689956,,1.0,3.0,1.0,2010.0,1109.45
2010-03-03,1139.5,1134.85,1145.0,1132.4,17.18,16.91,17.35,16.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0042744458643633,1134.65,1113.7,1095.35,,1112.392857142857,1111.0285714285717,,,1116.7021704136762,1110.9619170963156,1106.129891004554,73.73271889400932,5.351664550748183,0.8979780054220333,0.2073407784849921,66.32712456344586,68.33799393074476,,2.0,3.0,1.0,2010.0,1102.45
2010-03-04,1132.0,1139.8,1141.6,1126.1,17.12,17.18,17.38,17.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0065818341377796,1139.5,1102.05,1093.4,,1116.0785714285714,1114.1821428571427,,,1122.4092630729165,1114.9140321875152,1108.8748732833646,69.6135051088406,6.728667353828314,0.9058700567665412,0.2065686161072552,66.1214953271028,68.0104631822607,,3.0,3.0,1.0,2010.0,1109.1
2010-03-05,1132.05,1131.8,1140.7,1127.0,17.34,17.09,17.49,17.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.41696113073764e-05,1132.0,1096.4,1101.0,,1120.357142857143,1116.9392857142857,,,1124.8093555365306,1117.268064891354,1110.7439541589893,66.34208298052496,7.203133266680197,0.8000694144184388,0.2072381678978459,65.28546712802768,67.52980128249354,,4.0,3.0,1.0,2010.0,1125.7
2010-03-08,1122.4,1135.7,1137.8,1118.55,17.23,17.34,17.52,17.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0085243584647319,1132.05,1106.1,1119.95,,1125.45,1119.1571428571428,,,1126.6208799032092,1119.2956502117054,1112.438374872242,64.04341926729984,7.490874004458647,0.779924551227658,0.1377673481375434,65.14219384793964,67.03016287077783,,0.0,3.0,1.0,2010.0,1125.05
2010-03-09,1120.1,1123.3,1124.7,1108.95,17.23,17.21,17.41,16.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.002049180327869,1122.4,1116.5,1115.2,,1127.7785714285717,1119.3321428571428,,,1125.5650640169033,1119.7198368508552,1113.218883302436,51.20987654320991,6.949489073926316,0.6487536830395344,0.1434466126000872,65.00870574579221,66.51553887196178,,1.0,3.0,1.0,2010.0,1125.95
2010-03-10,1108.2,1121.65,1128.15,1103.25,16.99,17.23,17.65,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0106240514239799,1120.1,1117.35,1123.9,,1128.2928571428572,1119.682142857143,,,1124.198219419575,1119.7716120166556,1113.7506717285548,52.479757085020175,6.283439023302208,0.5976448403805013,0.1436191507536917,65.22660388463802,66.12409877739397,,2.0,3.0,1.0,2010.0,1107.55
2010-03-11,1109.45,1108.35,1111.65,1100.44,17.16,16.98,17.17,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0011279552427359,1108.2,1134.65,1118.85,,1126.9857142857145,1118.5607142857143,,,1120.197394385665,1118.200143700197,1113.3271103810484,42.303921568627416,4.8399580852237705,0.365991000525678,0.1454249251297072,64.65326340326341,65.73875473833444,,3.0,3.0,1.0,2010.0,1102.3
2010-03-12,1102.45,1109.65,1119.45,1098.65,17.09,17.16,17.34,16.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0063094326017395,1109.45,1139.5,1113.7,,1123.3857142857144,1117.8892857142855,,,1117.5099058728272,1117.0147697330513,1113.034703422098,45.21384928716909,3.7475297777291416,0.3687192734576751,0.144045190498649,64.50848449385606,65.39497912860138,,4.0,3.0,1.0,2010.0,1102.65
